,City,ID,Humidity,Longitude,Latitude,Temperature (F),Cloudiness,Wind Speed
468,Sambava,1056899,84,50.17,-14.27,67.46,69,8.1
469,Vondrozo,1053507,100,47.28,-22.82,55.87,34,2.48
470,Turukhansk,1488903,93,87.98,65.82,56.97,83,11.1
471,Caucayá,3671437,95,-74.78,-0.19,73.49,99,1.77
472,Aksarka,1512019,74,67.8,66.56,51.15,21,14.36
474,Urucará,3385670,69,-57.76,-2.54,78.31,7,2.28
475,Staunton,4787440,54,-79.07,38.15,81.41,1,0.38
476,Inta,1505579,75,60.17,66.03,50.34,71,9.48
477,Nelson Bay,2155562,100,152.15,-32.72,56.86,90,21.92
478,Santarém,3389353,88,-54.71,-2.44,80.6,20,3.36
479,Amahai,1651591,100,128.92,-3.33,81,88,1.01
480,São Filipe,3374210,84,-24.5,14.9,78.24,55,4.07
481,Batangafo,2389691,96,18.28,7.3,70.52,96,3.56
482,Privolzhye,505043,46,48.6,52.86,77.4,6,10.31
483,Buchanan,2278158,94,-10.05,5.88,77,75,4.7
484,Parabel',1495586,84,81.48,58.7,63.3,42,9.37
485,Heihe,2036973,94,127.49,50.24,69.8,0,4.47
486,Broken Hill,2173911,87,141.43,-31.95,42.8,1,10.29
487,Kyabé,2429344,89,18.94,9.45,73.74,98,2.82
488,Kisi,2334327,96,3.85,9.08,70.88,75,9.82
489,Samarai,2132606,89,150.67,-10.62,79.14,96,11.63
490,Havre-St-Pierre,5972291,76,-63.6,50.23,55.4,90,14.99
491,Great Falls,5655240,21,-111.3,47.5,73.02,20,5.82
492,Kontagora,2334008,93,5.47,10.4,72.46,82,5.3
493,Xapuri,3924674,70,-68.5,-10.65,77.43,23,2.42
494,Casper,5820705,11,-106.31,42.87,89.87,1,21.92
495,Lata,2738381,73,-8.33,40.16,74.39,0,1.01
496,San Policarpo,1688696,74,125.51,12.18,84.45,53,7.29
497,Sindgi,1256214,83,76.23,16.92,74.79,100,10.83
498,Araouane,2460954,23,-3.53,18.9,97.57,40,5.14
499,Kavaratti,1267390,76,72.64,10.57,83.1,100,8.81
500,Myitkyina,1307741,97,97.4,25.38,75.33,100,0.72
501,Barcelos,2742416,73,-8.62,41.54,77.11,1,3.36
502,Palmer,4946620,73,-72.33,42.16,73.74,40,6.93
503,Manbij,167357,42,37.95,36.53,80.6,0,12.75
504,Yerbogachën,2012956,64,108.01,61.28,68.4,58,2.53
505,Quaraí,3452179,82,-56.45,-30.39,44.08,0,6.51
507,Balezino,579432,92,53.01,57.98,61.92,0,6.71
508,Thunder Bay,6166142,56,-89.32,48.4,73.4,75,10.29
509,Villa Bruzual,3625346,89,-69.12,9.33,76.33,73,1.23
510,Teknāf,1185095,92,92.31,20.86,78.82,100,10.33
511,Isla Mujeres,3526756,66,-86.73,21.23,85.53,5,10.29
512,Karratha,6620339,38,116.85,-20.74,68.56,3,10.83
513,Skjervøy,777682,71,20.97,70.03,53.89,41,12.3
514,Akonolinga,2235776,98,12.25,3.77,67.5,64,3.6
515,Kieta,2094027,64,155.63,-6.22,84.54,98,3.27
516,Ayan,2027316,76,138.17,56.45,59.07,0,12.37
517,Buala,2109528,66,159.59,-8.14,85.06,98,7
518,Dzilam González,3529654,71,-88.93,21.28,89.01,15,8.99
519,Floirac,3018246,68,-0.51,44.83,65.1,90,6.93
520,Grass Valley,5353775,17,-121.06,39.22,89.17,1,9.17
521,Pskov,504341,93,28.35,57.81,48.2,1,4.47
522,Puerto Escondido,3520994,62,-97.07,15.85,86,40,5.82
523,Yangi Marg`ilon,1513491,44,71.72,40.43,75.2,80,2.24
525,Miracema do Tocantins,3384937,41,-48.4,-9.56,78.69,62,1.28
526,Iranshahr,1160939,41,60.68,27.2,90.34,1,2.35
527,Gavrilovka Vtoraya,561804,89,42.77,52.88,66.27,54,11.74
528,Pochutla,3517970,58,-96.47,15.74,87.91,75,11.41
529,Bulungu,2316259,70,18.6,-4.55,75.24,82,3.33
530,Kroya,1639337,87,109.25,-7.63,76.84,35,5.41
531,Şurmān,2210560,52,12.57,32.76,77.99,0,9.89
532,Alofi,4036284,75,-169.92,-19.06,71.74,76,25.55
533,Lima,3936456,82,-77.03,-12.04,60.8,90,6.93
535,Lieksa,648090,83,30.02,63.32,52.77,18,3.58
536,Natal,3394023,94,-35.21,-5.79,71.58,29,3.36
537,Havelock,4470244,83,-76.9,34.88,72.32,75,4.7
538,Pangoa,3933104,87,-73,-12.12,70.54,24,2.77
539,Katsuura,2112309,94,140.3,35.13,74.21,90,10.29
540,El Salvador,3585968,62,-88.92,13.83,87.8,20,3.36
541,Mozarlândia,3456642,37,-50.57,-14.74,75.56,21,3
542,Aklavik,5882953,48,-135.01,68.22,66.2,40,2.24
543,Zabul Province,1121143,30,67.25,32.25,62.56,0,3.49
544,Adré,245669,54,22.2,13.47,80.42,5,6.04
545,Nyurba,2018735,62,118.33,63.28,74.37,40,2.42
546,Vila Franca do Campo,3372472,82,-25.43,37.72,66.2,20,9.17
547,Coxim,3465228,39,-54.76,-18.51,80.24,22,0.56
548,Urusha,2014078,44,122.9,54.05,84.69,75,0.94
549,Henties Bay,3356832,91,14.28,-22.12,53.01,0,12.86
550,Marsh Harbour,3571913,75,-77.06,26.54,84.51,100,10.87
551,Saint-Gabriel,6138260,7,-73.38,46.3,72.77,80,1.01
552,Mahibadhoo,1337605,69,72.97,3.78,83.8,71,6.53
553,Honiara,2108502,94,159.95,-9.43,77,90,5.82
554,Aksha,2028028,77,113.29,50.28,68.95,1,1.16
555,Maragogi,3395458,83,-35.22,-9.01,73.99,14,3.62
556,Envira,3664301,90,-70.22,-7.3,74.5,100,2.89
557,Shelopugino,2016757,66,117.56,51.65,73.15,88,4.23
558,Necochea,3430443,73,-58.74,-38.55,39.99,17,10
559,Porto-Novo,2392087,94,2.6,6.5,77,20,9.17
560,Amos,5884588,64,-78.12,48.57,70.9,20,9.17
561,Te Anau,2181625,85,167.72,-45.42,39.09,39,0.65
562,Ixtapa,4004293,70,-105.2,20.7,87.89,75,9.17
563,Aurora,5412347,15,-104.83,39.73,90.72,75,14.99
564,La Palma,5364022,48,-118.05,33.85,79.38,20,10.29
565,Camacha,2270385,73,-16.33,33.08,69.8,75,14.99
566,Achacachi,3924610,75,-68.68,-16.05,42.66,0,8.93
567,Pirogovo,509401,80,53.15,56.78,69.01,28,6.8
568,Dongsheng,1812256,50,109.98,39.82,72.72,93,7.9
569,Vysokogornyy,2013216,66,139.15,50.12,66.7,66,2.66
570,Portland,5746545,29,-122.68,45.52,78.66,20,9.17
571,Guánica,4565090,74,-66.91,17.97,83.8,19,4
572,Shakiso,328716,92,38.92,5.75,59.31,84,1.63
573,Bunia,217695,87,30.25,1.57,63.12,77,0.54
574,Petropavlovsk-Kamchatskiy,2122104,100,158.65,53.05,51.8,90,2.24
575,Worthington,5177396,51,-83.02,40.09,79.45,40,12.75
576,Buncrana,2654332,86,-7.45,55.13,52.59,95,8.21
577,Hazorasp,1513957,41,61.07,41.32,75.2,0,9.17
578,Nicoya,3622716,66,-85.45,10.15,84.2,75,5.82
579,Ust'-Kut,2013923,57,105.77,56.79,74.88,3,1.7
580,Westport,4845585,57,-73.36,41.14,82.36,20,8.39
582,Chitral,1181065,42,71.79,35.85,72.43,99,1.99
583,Srandakan,1626493,84,110.25,-7.94,77.36,64,5.53
584,Montepuez,1037125,83,39,-13.13,65.12,56,7.96
585,Pindwāra,1259638,76,73.07,24.8,82.26,79,2.71
586,Fagersta,2715656,80,15.79,60,49.42,82,0.49
587,Bud,4255151,44,-86.18,39.45,80.51,1,5.44
588,Ebes,721257,67,21.5,47.47,59,0,8.05
589,Columbus,4509177,51,-83,39.96,80.46,40,12.75
590,Mana,3381041,85,-53.78,5.66,78.04,5,7.23
591,Inza,556283,68,46.36,53.85,69.28,86,6.67
592,Seoul,1835848,88,126.98,37.57,65.71,90,10.49
593,Avera,4231997,49,-82.53,33.19,88.52,40,5.82
594,Kailua,5847486,61,-157.74,21.4,83.01,40,13.87
595,Andenes,3163146,96,16.12,69.31,48,58,5.99
597,Suntar,2015913,61,117.63,62.14,75.45,5,1.79
598,Touros,3386213,94,-35.46,-5.2,69.8,6,3.36
599,Alekseyevsk,2022083,49,108.35,57.84,72.68,2,4.85
600,Tessalit,2449893,11,1.01,20.2,93.13,0,4.29
601,Lagunas,3695844,92,-75.68,-5.23,74.73,65,0.29
602,Wad Medani,364103,55,33.52,14.4,84.88,0,16.6
603,Xianyang,1790353,83,108.7,34.34,75.11,20,8.95
605,Kaitangata,2208248,76,169.85,-46.28,46,77,4
606,Maltahöhe,3355624,76,16.98,-24.83,37.83,0,3.56
607,Malibu,5369906,83,-118.81,34.01,74.52,17,5.01
608,Cortez,5418104,12,-108.59,37.35,90.86,1,17.22
609,Moose Factory,6078372,82,-80.61,51.26,62.6,1,9.17
610,Sechura,3691954,76,-80.82,-5.56,66.88,27,16.06
611,São Félix do Xingu,3388847,48,-51.99,-6.64,75.11,14,2.08
612,Mezen',527321,88,44.24,65.85,50.05,100,6.64
613,Srednekolymsk,2121025,36,153.68,67.45,66.16,4,10.2
614,Puerto Colombia,3671497,74,-74.95,10.99,86,20,8.05
616,Bayan,2038421,68,127.4,46.08,76.91,0,4.32
617,Ambilobe,1082243,79,49.05,-13.2,65.23,62,3.27
618,North Bend,5742974,72,-124.22,43.41,67.51,1,26.4
619,Aykhal,2027296,48,111.5,66,66.2,12,4.47
620,Bulgan,2032201,78,103.53,48.81,62.83,71,2.8
621,Kendal,2645826,87,-2.75,54.33,55.04,78,1.99
623,Port Macquarie,2152659,88,152.92,-31.43,53.01,100,5.99
624,Imeni Poliny Osipenko,2023584,69,136.49,52.42,71.6,52,0.89
625,Hayden,5595320,25,-116.79,47.77,73.31,1,9.17
626,Caibarién,3566356,74,-79.47,22.52,82.99,97,7.85
627,Atasū,1526041,48,71.64,48.68,63.52,0,9.78
628,Blackwater,2175403,41,148.88,-23.58,58.41,0,12.03
629,Broome,5110365,64,-75.83,42.25,70.7,75,12.75
630,Borzya,2026126,71,116.52,50.38,71.01,89,4
631,Bereda,3105522,95,-7.54,43.27,58.64,48,5.99
632,Sol'vychegodsk,490743,94,46.92,61.33,58.59,77,7.36
633,Rancho Palos Verdes,5386035,73,-118.39,33.74,74.66,5,14.99
634,Bandarbeyla,64814,68,50.81,9.49,78.84,49,27.65
635,Narón,3115739,82,-8.15,43.52,62.19,59,5.82
636,Codrington,2171099,83,141.97,-38.27,48.79,8,4.65
637,Shimokizukuri,2129513,88,140.39,40.81,69.24,75,5.82
638,Padang,1633419,73,100.35,-0.95,77.86,100,3.65
639,Ilovlya,556961,47,43.98,49.3,77,46,8.95
640,Rio Grande,3451138,71,-52.1,-32.03,45,0,1.01
641,Geraldton,2070998,87,114.6,-28.77,60.8,75,17.22
642,Grindavik,3416888,81,-22.43,63.84,50,75,2.24
643,Saint-Augustin,6137462,87,-58.65,51.23,53.38,100,16.8
645,Ascension,4315067,63,-90.9,30.22,91.29,98,6.93
